"[p,q,P,Q]",AIC
"[1, 0, 2, 0]",1388459.3794300223
"[0, 3, 2, 0]",1388471.0001315146
"[2, 3, 3, 0]",1388708.2197500975
"[0, 2, 2, 1]",1388747.4643429646
"[0, 2, 0, 3]",1388787.804289233
"[1, 0, 0, 2]",1388816.1540559705
"[2, 3, 1, 1]",1388835.26968326
"[0, 2, 3, 0]",1388856.057464644
"[0, 2, 3, 1]",1388888.6722419555
"[1, 0, 0, 0]",1388891.8059019356
"[0, 2, 2, 0]",1388913.6600917184
"[0, 2, 0, 2]",1388931.4532913945
"[2, 1, 1, 3]",1389073.996603442
"[0, 3, 0, 1]",1389153.3911161234
"[0, 3, 1, 0]",1389167.4210206063
"[0, 3, 0, 0]",1389178.8563386071
"[0, 3, 0, 3]",1389645.7304048464
"[0, 2, 0, 1]",1389655.7617235922
"[0, 2, 1, 1]",1389674.2815357752
"[3, 3, 3, 0]",1389993.8953689907
"[1, 0, 0, 1]",1390009.435536855
"[0, 2, 1, 0]",1390075.460696665
"[1, 0, 1, 0]",1390236.9420616676
"[2, 3, 2, 1]",1390239.0866342464
"[2, 3, 0, 3]",1390254.4947956307
"[2, 3, 1, 2]",1390447.0452533464
"[3, 3, 3, 1]",1390522.0722340909
"[2, 3, 2, 0]",1390762.694769781
"[0, 2, 0, 0]",1391004.6758104686
"[2, 1, 3, 1]",1391089.5423010369
"[3, 2, 1, 1]",1391818.2812888029
"[2, 2, 1, 3]",1392032.45582581
"[1, 2, 1, 3]",1392616.5133908514
"[3, 2, 3, 1]",1393005.5060561388
"[1, 3, 1, 3]",1393016.5852763702
"[3, 2, 3, 0]",1393208.2008786094
"[0, 1, 0, 2]",1393767.4500874968
"[0, 3, 1, 3]",1394798.6236336674
"[3, 2, 2, 1]",1395309.630433948
"[0, 1, 3, 1]",1396087.3656884232
"[3, 2, 0, 3]",1396310.0840749478
"[0, 1, 2, 1]",1396360.9324726842
"[3, 2, 2, 0]",1396711.7280447262
"[0, 1, 0, 3]",1396837.8337893267
"[0, 1, 3, 0]",1397214.1781420803
"[0, 1, 2, 0]",1397763.999713617
"[0, 1, 0, 1]",1398655.3908032335
"[0, 1, 1, 2]",1398658.108280505
"[0, 1, 1, 1]",1399173.2580439649
"[0, 1, 1, 3]",1399395.0855465431
"[3, 2, 1, 2]",1399897.5179137543
"[0, 1, 0, 0]",1400730.154326
"[0, 1, 1, 0]",1400730.7443477346
"[0, 0, 2, 3]",1401565.393364921
"[0, 0, 3, 2]",1401697.9585826416
