date,hour,value
2014-01-13,09,208738.0
2014-01-13,10,214126.0
2014-01-13,11,214431.0
2014-01-13,12,213932.0
2014-01-13,13,214739.0
2014-01-13,14,207076.0
2014-01-13,15,202398.0
2014-01-13,16,201790.0
2014-01-13,17,203464.0
2014-01-13,18,213695.0
2014-01-13,19,221622.0
2014-01-13,20,222081.0
2014-01-13,21,217568.0
2014-01-13,22,202098.0
2014-01-13,23,182461.0
2014-01-14,00,166005.0
2014-01-14,01,153435.0
2014-01-14,02,145483.0
2014-01-14,03,142187.0
2014-01-14,04,141763.0
2014-01-14,05,144297.0
2014-01-14,06,157604.0
2014-01-14,07,185090.0
2014-01-14,08,205524.0
2014-01-14,09,212065.0
2014-01-14,10,216232.0
2014-01-14,11,216097.0
2014-01-14,12,215139.0
2014-01-14,13,214891.0
2014-01-14,14,206127.0
2014-01-14,15,200974.0
2014-01-14,16,200263.0
2014-01-14,17,203411.0
2014-01-14,18,213810.0
2014-01-14,19,221124.0
2014-01-14,20,221828.0
2014-01-14,21,217284.0
2014-01-14,22,201438.0
2014-01-14,23,182188.0
2014-01-15,00,165881.0
2014-01-15,01,152125.0
2014-01-15,02,144127.0
2014-01-15,03,140806.0
2014-01-15,04,139620.0
2014-01-15,05,142101.0
2014-01-15,06,156390.0
2014-01-15,07,183274.0
2014-01-15,08,204535.0
2014-01-15,09,208831.0
2014-01-15,10,213275.0
2014-01-15,11,212944.0
2014-01-15,12,211572.0
2014-01-15,13,211280.0
2014-01-15,14,204032.0
2014-01-15,15,201124.0
2014-01-15,16,199250.0
2014-01-15,17,202754.0
2014-01-15,18,212426.0
2014-01-15,19,220120.0
2014-01-15,20,221528.0
2014-01-15,21,217633.0
2014-01-15,22,201277.0
2014-01-15,23,181563.0
2014-01-16,00,166381.0
2014-01-16,01,150843.0
2014-01-16,02,143505.0
2014-01-16,03,139651.0
2014-01-16,04,137963.0
2014-01-16,05,141661.0
2014-01-16,06,156319.0
2014-01-16,07,182248.0
2014-01-16,08,203273.0
2014-01-16,09,207649.0
2014-01-16,10,212403.0
2014-01-16,11,213569.0
2014-01-16,12,214070.0
2014-01-16,13,212758.0
2014-01-16,14,204416.0
2014-01-16,15,201792.0
2014-01-16,16,201715.0
2014-01-16,17,202813.0
2014-01-16,18,212016.0
2014-01-16,19,220605.0
2014-01-16,20,221428.0
2014-01-16,21,216933.0
2014-01-16,22,201680.0
2014-01-16,23,183424.0
2014-01-17,00,167270.0
2014-01-17,01,153523.0
2014-01-17,02,145313.0
2014-01-17,03,141914.0
2014-01-17,04,140415.0
2014-01-17,05,142834.0
2014-01-17,06,156888.0
2014-01-17,07,185059.0
2014-01-17,08,203587.0
2014-01-17,09,209355.0
2014-01-17,10,213202.0
2014-01-17,11,212682.0
2014-01-17,12,211341.0
2014-01-17,13,210786.0
2014-01-17,14,203058.0
2014-01-17,15,198212.0
2014-01-17,16,196626.0
2014-01-17,17,198177.0
2014-01-17,18,208112.0
2014-01-17,19,215216.0
2014-01-17,20,214850.0
2014-01-17,21,210645.0
2014-01-17,22,198646.0
2014-01-17,23,183554.0
2014-01-18,00,170138.0
2014-01-18,01,155963.0
2014-01-18,02,145828.0
2014-01-18,03,139001.0
2014-01-18,04,136715.0
2014-01-18,05,136248.0
2014-01-18,06,138155.0
2014-01-18,07,145882.0
2014-01-18,08,155819.0
2014-01-18,09,171117.0
2014-01-18,10,186628.0
2014-01-18,11,190409.0
2014-01-18,12,189289.0
2014-01-18,13,190705.0
2014-01-18,14,185346.0
2014-01-18,15,176074.0
2014-01-18,16,171343.0
2014-01-18,17,171883.0
2014-01-18,18,183487.0
2014-01-18,19,191084.0
2014-01-18,20,194352.0
2014-01-18,21,194754.0
2014-01-18,22,186297.0
2014-01-18,23,173780.0
2014-01-19,00,159049.0
2014-01-19,01,145670.0
2014-01-19,02,134847.0
2014-01-19,03,129035.0
2014-01-19,04,126314.0
2014-01-19,05,127384.0
2014-01-19,06,128674.0
2014-01-19,07,132222.0
2014-01-19,08,135233.0
2014-01-19,09,145653.0
2014-01-19,10,160716.0
2014-01-19,11,169339.0
2014-01-19,12,171504.0
2014-01-19,13,174124.0
2014-01-19,14,173278.0
2014-01-19,15,167457.0
2014-01-19,16,163447.0
2014-01-19,17,161533.0
2014-01-19,18,172593.0
2014-01-19,19,185836.0
2014-01-19,20,191868.0
2014-01-19,21,194562.0
2014-01-19,22,187590.0
2014-01-19,23,173303.0
2014-01-20,00,154949.0
2014-01-20,01,141978.0
2014-01-20,02,133849.0
2014-01-20,03,130130.0
2014-01-20,04,129594.0
2014-01-20,05,134671.0
2014-01-20,06,152114.0
2014-01-20,07,181579.0
2014-01-20,08,205855.0
2014-01-20,09,214670.0
2014-01-20,10,219893.0
2014-01-20,11,219880.0
2014-01-20,12,217702.0
2014-01-20,13,216500.0
2014-01-20,14,209871.0
2014-01-20,15,204431.0
2014-01-20,16,203090.0
2014-01-20,17,204489.0
2014-01-20,18,215489.0
2014-01-20,19,225943.0
2014-01-20,20,227277.0
2014-01-20,21,222130.0
2014-01-20,22,206631.0
2014-01-20,23,187352.0
2014-01-21,00,171695.0
2014-01-21,01,155445.0
2014-01-21,02,146945.0
2014-01-21,03,143874.0
2014-01-21,04,142786.0
2014-01-21,05,146473.0
2014-01-21,06,160588.0
2014-01-21,07,189524.0
2014-01-21,08,211111.0
2014-01-21,09,217383.0
2014-01-21,10,223688.0
2014-01-21,11,221886.0
2014-01-21,12,219090.0
2014-01-21,13,217545.0
2014-01-21,14,209840.0
2014-01-21,15,207263.0
2014-01-21,16,206763.0
2014-01-21,17,208943.0
2014-01-21,18,219222.0
2014-01-21,19,229575.0
2014-01-21,20,229421.0
2014-01-21,21,224272.0
2014-01-21,22,207689.0
2014-01-21,23,188024.0
2014-01-22,00,170980.0
2014-01-22,01,155841.0
2014-01-22,02,148193.0
2014-01-22,03,145078.0
2014-01-22,04,144045.0
2014-01-22,05,145740.0
2014-01-22,06,159424.0
2014-01-22,07,187701.0
2014-01-22,08,207652.0
2014-01-22,09,213842.0
2014-01-22,10,218727.0
2014-01-22,11,219491.0
2014-01-22,12,217949.0
2014-01-22,13,218503.0
2014-01-22,14,210253.0
2014-01-22,15,206908.0
2014-01-22,16,206044.0
2014-01-22,17,207936.0
2014-01-22,18,216887.0
2014-01-22,19,227358.0
2014-01-22,20,228179.0
2014-01-22,21,222583.0
2014-01-22,22,207159.0
2014-01-22,23,187593.0
2014-01-23,00,170820.0
2014-01-23,01,155699.0
2014-01-23,02,147691.0
2014-01-23,03,144331.0
2014-01-23,04,142751.0
2014-01-23,05,145001.0
2014-01-23,06,158608.0
2014-01-23,07,187325.0
2014-01-23,08,207694.0
2014-01-23,09,213954.0
2014-01-23,10,217020.0
2014-01-23,11,215804.0
2014-01-23,12,212272.0
2014-01-23,13,211255.0
2014-01-23,14,203469.0
2014-01-23,15,199640.0
2014-01-23,16,198151.0
2014-01-23,17,199554.0
2014-01-23,18,210433.0
2014-01-23,19,223500.0
2014-01-23,20,224775.0
2014-01-23,21,220462.0
2014-01-23,22,205115.0
2014-01-23,23,186451.0
2014-01-24,00,170128.0
2014-01-24,01,154753.0
2014-01-24,02,145860.0
2014-01-24,03,142552.0
2014-01-24,04,141855.0
2014-01-24,05,144835.0
2014-01-24,06,158740.0
2014-01-24,07,187930.0
2014-01-24,08,207753.0
2014-01-24,09,214551.0
2014-01-24,10,219178.0
2014-01-24,11,217676.0
2014-01-24,12,214598.0
2014-01-24,13,211745.0
2014-01-24,14,203665.0
2014-01-24,15,198259.0
2014-01-24,16,196635.0
2014-01-24,17,197460.0
2014-01-24,18,206435.0
2014-01-24,19,217551.0
2014-01-24,20,217787.0
2014-01-24,21,214970.0
2014-01-24,22,201236.0
2014-01-24,23,185130.0
2014-01-25,00,170770.0
2014-01-25,01,156650.0
2014-01-25,02,146469.0
2014-01-25,03,139437.0
2014-01-25,04,137088.0
2014-01-25,05,135676.0
2014-01-25,06,137661.0
2014-01-25,07,145663.0
2014-01-25,08,156558.0
2014-01-25,09,171921.0
2014-01-25,10,186212.0
2014-01-25,11,188337.0
2014-01-25,12,185457.0
2014-01-25,13,185125.0
2014-01-25,14,180383.0
2014-01-25,15,171827.0
2014-01-25,16,166944.0
2014-01-25,17,165700.0
2014-01-25,18,176112.0
2014-01-25,19,189522.0
2014-01-25,20,192500.0
2014-01-25,21,192421.0
2014-01-25,22,184067.0
2014-01-25,23,171725.0
2014-01-26,00,157332.0
2014-01-26,01,143672.0
2014-01-26,02,134588.0
2014-01-26,03,127966.0
2014-01-26,04,126313.0
2014-01-26,05,125790.0
2014-01-26,06,127477.0
2014-01-26,07,132315.0
2014-01-26,08,134777.0
2014-01-26,09,144588.0
2014-01-26,10,158030.0
2014-01-26,11,162827.0
2014-01-26,12,160812.0
2014-01-26,13,162306.0
2014-01-26,14,163112.0
2014-01-26,15,155964.0
2014-01-26,16,152091.0
2014-01-26,17,151456.0
2014-01-26,18,163012.0
2014-01-26,19,179584.0
2014-01-26,20,186572.0
2014-01-26,21,189050.0
2014-01-26,22,181624.0
2014-01-26,23,168926.0
2014-01-27,00,151121.0
2014-01-27,01,138620.0
2014-01-27,02,130537.0
2014-01-27,03,127044.0
2014-01-27,04,126849.0
2014-01-27,05,131439.0
2014-01-27,06,149797.0
2014-01-27,07,178946.0
2014-01-27,08,199365.0
2014-01-27,09,206045.0
2014-01-27,10,210295.0
2014-01-27,11,210193.0
2014-01-27,12,208319.0
2014-01-27,13,209698.0
2014-01-27,14,202670.0
2014-01-27,15,197696.0
2014-01-27,16,196240.0
2014-01-27,17,198973.0
2014-01-27,18,206600.0
2014-01-27,19,219672.0
2014-01-27,20,220382.0
2014-01-27,21,215528.0
2014-01-27,22,199526.0
2014-01-27,23,180948.0
2014-01-28,00,167017.0
2014-01-28,01,153144.0
2014-01-28,02,145615.0
2014-01-28,03,142107.0
2014-01-28,04,141713.0
2014-01-28,05,145578.0
2014-01-28,06,158828.0
2014-01-28,07,185880.0
2014-01-28,08,206589.0
2014-01-28,09,213825.0
2014-01-28,10,217363.0
2014-01-28,11,217319.0
2014-01-28,12,216316.0
2014-01-28,13,216306.0
2014-01-28,14,209042.0
2014-01-28,15,205717.0
2014-01-28,16,205365.0
2014-01-28,17,207885.0
2014-01-28,18,216137.0
2014-01-28,19,227903.0
2014-01-28,20,228744.0
2014-01-28,21,222778.0
2014-01-28,22,206068.0
2014-01-28,23,186019.0
2014-01-29,00,170097.0
2014-01-29,01,155584.0
2014-01-29,02,147720.0
2014-01-29,03,144215.0
2014-01-29,04,144183.0
2014-01-29,05,147175.0
2014-01-29,06,161159.0
2014-01-29,07,187223.0
2014-01-29,08,206644.0
2014-01-29,09,212717.0
2014-01-29,10,216534.0
2014-01-29,11,216450.0
2014-01-29,12,213832.0
2014-01-29,13,211945.0
2014-01-29,14,202747.0
2014-01-29,15,197590.0
2014-01-29,16,199454.0
2014-01-29,17,204473.0
2014-01-29,18,211297.0
2014-01-29,19,223625.0
2014-01-29,20,224718.0
2014-01-29,21,220263.0
2014-01-29,22,204709.0
2014-01-29,23,185457.0
2014-01-30,00,168889.0
2014-01-30,01,154249.0
2014-01-30,02,146661.0
2014-01-30,03,143184.0
2014-01-30,04,141863.0
2014-01-30,05,145182.0
2014-01-30,06,158994.0
2014-01-30,07,186087.0
2014-01-30,08,206081.0
2014-01-30,09,213528.0
2014-01-30,10,217418.0
2014-01-30,11,216370.0
2014-01-30,12,214927.0
2014-01-30,13,214016.0
2014-01-30,14,205779.0
2014-01-30,15,201330.0
2014-01-30,16,201123.0
2014-01-30,17,203613.0
2014-01-30,18,210944.0
2014-01-30,19,224741.0
2014-01-30,20,227096.0
2014-01-30,21,223181.0
2014-01-30,22,207558.0
2014-01-30,23,188990.0
2014-01-31,00,172103.0
2014-01-31,01,158428.0
2014-01-31,02,149145.0
2014-01-31,03,145211.0
2014-01-31,04,144851.0
2014-01-31,05,147364.0
2014-01-31,06,159712.0
2014-01-31,07,186328.0
2014-01-31,08,205179.0
2014-01-31,09,212286.0
