date,weekday,working_day,madrid_temp,barcelona_temp,bilbao_temp,sevilla_temp,valencia_temp,value
2015-07-25,5,1,26.744684583333356,24.37797500000002,17.58233083333336,28.793218333333357,27.94309791666669,4108295.0
2015-07-26,6,1,28.467217916666687,25.306877083333358,20.414605833333358,29.076389583333356,28.71362833333336,3792505.0
2015-07-27,0,1,29.37611333333335,24.383019166666685,18.57213708333336,31.20826666666669,28.343335833333352,4611596.0
2015-07-28,1,1,29.46446208333336,24.414901250000018,20.08562541666669,32.011477916666685,28.03920041666669,4717551.0
2015-07-29,2,1,28.964317083333356,25.09671416666669,17.499232500000023,31.16574458333336,27.710320000000014,4784715.0
2015-07-30,3,1,27.011792500000023,23.092584166666693,16.301679166666688,29.755293750000018,25.77087875000002,4621361.0
2015-07-31,4,1,24.237715833333354,22.973676666666695,16.508823333333357,27.48468583333336,23.814792500000024,4379753.0
2015-08-01,5,1,24.056627083333357,21.661806250000023,17.39461750000002,28.20083000000003,23.806046250000026,3788553.0
2015-08-02,6,1,27.009729166666684,23.16999666666669,21.97453333333336,29.958194583333352,25.675653333333358,3565530.0
2015-08-03,0,1,28.25944375000002,24.817855416666692,20.46961958333336,28.90596833333335,26.253269166666684,4357067.0
2015-08-04,1,1,27.805342500000023,24.844486666666693,18.308862083333352,28.309350416666692,26.114138333333358,4420302.0
2015-08-05,2,1,28.371454166666695,25.105331250000024,20.296328333333356,30.36934750000002,26.639680833333355,4463160.0
2015-08-06,3,1,29.345799166666694,25.50172333333336,20.025517916666693,31.66482916666669,26.956138333333353,4455015.0
2015-08-07,4,1,29.429232916666695,26.408288750000022,18.339870000000015,32.770715000000024,28.53576083333336,4488930.0
2015-08-08,5,1,27.29537375000002,25.659174583333353,16.92639541666669,31.989844583333355,26.279901666666692,3954931.0
2015-08-09,6,1,25.18927208333336,23.02605583333336,18.02362666666669,32.282015833333354,24.78449208333335,3519011.0
2015-08-10,0,1,27.507235000000026,23.202021666666685,19.262272916666685,31.254081666666693,25.73671791666669,4150865.0
2015-08-11,1,1,28.200097500000027,24.057347083333344,20.601667083333357,27.74012791666669,26.90118791666669,4262913.0
2015-08-12,2,1,26.586865000000028,25.16042291666669,21.664626666666695,28.91331500000003,27.546207500000012,4294403.0
2015-08-13,3,1,22.44990458333335,24.85405916666669,19.08158958333335,27.33938333333336,29.34220500000002,4210545.0
2015-08-14,4,1,21.335423333333356,21.950892083333358,17.25725625000003,25.09404916666669,25.839460000000027,3973260.0
2015-08-15,5,1,22.08040625000002,19.455355416666684,16.531842916666694,26.01395000000002,23.253595416666688,3470022.0
2015-08-16,6,1,22.819971666666685,20.860292083333352,16.379480000000015,26.57741666666669,24.590968333333354,3317695.0
2015-08-17,0,1,24.672602916666687,20.80614750000002,17.06051125000003,26.855789166666693,24.895553333333353,3913747.0
2015-08-18,1,1,25.135219166666683,19.73489750000002,17.909937500000023,26.076857083333362,23.40555291666669,3952873.0
2015-08-19,2,1,25.14488041666669,21.077610000000025,17.571892500000022,26.122958750000027,23.828515833333356,3982497.0
2015-08-20,3,1,27.07274958333335,22.515619583333358,18.741419583333357,29.12274333333336,25.675927500000025,4123306.0
2015-08-21,4,1,26.643254583333356,23.982457500000024,20.68277458333336,28.285852500000022,25.794377083333355,4207791.0
2015-08-22,5,1,24.672580416666687,23.19577375000002,19.999932500000025,24.789890000000018,24.920374583333356,3789386.0
2015-08-23,6,1,21.282384583333354,23.74093125000002,20.16426041666669,24.299645833333354,27.637118750000027,3445303.0
2015-08-24,0,1,19.54968958333335,23.718734583333358,17.592105833333353,23.78771208333336,27.499505833333362,3992654.0
2015-08-25,1,1,21.261457500000024,21.968642500000026,18.91090250000002,25.98442875000002,24.999670833333354,4103832.0
2015-08-26,2,1,24.130638333333355,22.39278583333336,21.881199583333355,26.656965833333356,25.586856666666687,4189848.0
2015-08-27,3,1,24.733290833333356,23.470879583333357,23.930689583333358,27.954055416666687,26.03711500000003,4309751.0
2015-08-28,4,1,26.010390833333357,23.352806666666694,21.607273333333357,29.829563750000023,25.765793333333352,4328509.0
2015-08-29,5,1,27.968296250000027,23.742983750000025,22.693820000000027,30.429459166666692,25.955224166666692,3934032.0
2015-08-30,6,1,27.23471333333336,23.633948333333354,25.24853791666669,30.403405416666686,26.14538000000002,3672054.0
2015-08-31,0,1,23.686426666666687,24.28313583333336,20.91203166666668,26.91876500000002,26.841699583333362,4413600.0
2015-09-01,1,1,22.47017791666669,23.34032625000002,16.954696666666692,25.074215000000024,25.196130833333353,4391234.0
2015-09-02,2,1,23.36147333333336,21.489087916666694,16.56227000000002,22.96728791666669,24.141279166666692,4337384.0
2015-09-03,3,1,21.88913333333336,20.048242500000026,15.618573750000019,22.220635416666685,24.31331583333336,4215029.0
2015-09-04,4,1,19.43350708333335,19.32827166666669,14.782018333333362,22.31864833333336,21.292687500000024,4091643.0
2015-09-05,5,1,19.49940416666669,18.637505833333346,14.839714166666694,21.755138750000025,21.600439166666693,3604815.0
2015-09-06,6,1,20.055189166666683,19.395867916666685,15.695569583333361,23.70724958333335,20.697525833333355,3294812.0
2015-09-07,0,1,20.277866666666686,19.420059166666693,15.627892916666694,24.46567166666669,20.413274166666692,3919635.0
2015-09-08,1,1,21.073960416666687,19.95927458333336,15.454351666666687,24.611719166666685,19.49124458333336,3953066.0
2015-09-09,2,1,21.17927375000002,20.14596875000002,17.685978750000025,25.486615833333364,20.50838708333335,4063904.0
2015-09-10,3,1,22.21096083333336,19.303795000000022,16.95905041666668,25.882845416666687,22.51833708333336,4107405.0
2015-09-11,4,1,23.109024583333355,20.208123750000023,18.773696250000018,24.248030833333356,23.383202500000024,3943948.0
2015-09-12,5,1,22.17782083333336,22.292669166666688,17.635053333333353,23.504683750000027,22.979028333333357,3654796.0
2015-09-13,6,1,20.036695000000023,21.864547083333353,18.749607500000028,22.660860833333356,24.38885916666669,3352580.0
2015-09-14,0,1,18.919303750000022,20.710016250000024,15.446240416666692,22.861221250000014,24.023522500000023,3951747.0
2015-09-15,1,1,16.276625416666693,20.810539583333355,16.861250833333354,21.058688750000027,22.915633750000023,4062587.0
2015-09-16,2,1,16.685287083333353,21.823927916666694,20.895248750000025,21.496505416666693,24.628158750000026,4124861.0
2015-09-17,3,1,15.028385416666689,21.42385250000002,14.624862083333355,20.46455291666669,23.224642916666692,4029830.0
2015-09-18,4,1,15.564285000000018,18.47641500000002,14.418716666666684,22.92361958333336,20.282767083333358,3978459.0
2015-09-19,5,1,17.191744583333353,19.043278750000024,14.814947083333363,24.725468333333353,20.82055041666669,3582865.0
2015-09-20,6,1,18.704115833333354,19.56776041666669,15.18670083333336,25.735428333333363,21.57555625000002,3304735.0
2015-09-21,0,1,20.208887083333355,19.34815791666669,15.44321125000002,26.25018458333335,22.021042083333352,3997777.0
2015-09-22,1,1,20.22521375000002,19.945112083333356,15.251733333333355,25.83756875000002,21.600325000000023,4112794.0
