date,weekday,working_day,value
2015-08-18,1,1,3952873.0
2015-08-19,2,1,3982497.0
2015-08-20,3,1,4123306.0
2015-08-21,4,1,4207791.0
2015-08-22,5,1,3789386.0
2015-08-23,6,1,3445303.0
2015-08-24,0,1,3992654.0
2015-08-25,1,1,4103832.0
2015-08-26,2,1,4189848.0
2015-08-27,3,1,4309751.0
2015-08-28,4,1,4328509.0
2015-08-29,5,1,3934032.0
2015-08-30,6,1,3672054.0
2015-08-31,0,1,4413600.0
2015-09-01,1,1,4391234.0
2015-09-02,2,1,4337384.0
2015-09-03,3,1,4215029.0
2015-09-04,4,1,4091643.0
2015-09-05,5,1,3604815.0
2015-09-06,6,1,3294812.0
2015-09-07,0,1,3919635.0
2015-09-08,1,1,3953066.0
2015-09-09,2,1,4063904.0
2015-09-10,3,1,4107405.0
2015-09-11,4,1,3943948.0
2015-09-12,5,1,3654796.0
2015-09-13,6,1,3352580.0
2015-09-14,0,1,3951747.0
2015-09-15,1,1,4062587.0
2015-09-16,2,1,4124861.0
2015-09-17,3,1,4029830.0
2015-09-18,4,1,3978459.0
2015-09-19,5,1,3582865.0
2015-09-20,6,1,3304735.0
2015-09-21,0,1,3997777.0
2015-09-22,1,1,4112794.0
2015-09-23,2,1,4084581.0
2015-09-24,3,1,4037184.0
2015-09-25,4,1,4024428.0
2015-09-26,5,1,3617815.0
2015-09-27,6,1,3328523.0
2015-09-28,0,1,3964916.0
2015-09-29,1,1,4040888.0
2015-09-30,2,1,4027558.0
2015-10-01,3,1,4029037.0
2015-10-02,4,1,4019393.0
2015-10-03,5,1,3592711.0
2015-10-04,6,1,3342430.0
2015-10-05,0,1,4047678.0
2015-10-06,1,1,4102748.0
2015-10-07,2,1,4031639.0
2015-10-08,3,1,3987214.0
2015-10-09,4,1,3896499.0
2015-10-10,5,1,3526031.0
2015-10-11,6,1,3268421.0
2015-10-12,0,0,3338427.0
2015-10-13,1,1,3920924.0
2015-10-14,2,1,3974438.0
2015-10-15,3,1,3976492.0
2015-10-16,4,1,3992446.0
2015-10-17,5,1,3614875.0
2015-10-18,6,1,3314133.0
2015-10-19,0,1,3984089.0
2015-10-20,1,1,4046574.0
2015-10-21,2,1,4020336.0
2015-10-22,3,1,4004241.0
2015-10-23,4,1,4010671.0
2015-10-24,5,1,3581865.0
2015-10-25,6,1,3427357.0
2015-10-26,0,1,3969990.0
2015-10-27,1,1,4062852.0
2015-10-28,2,1,4056144.0
2015-10-29,3,1,4057008.0
2015-10-30,4,1,4019779.0
2015-10-31,5,1,3584727.0
2015-11-01,6,0,3291312.0
2015-11-02,0,1,3812611.0
2015-11-03,1,1,4080486.0
2015-11-04,2,1,4097320.0
2015-11-05,3,1,4067478.0
2015-11-06,4,1,4048316.0
2015-11-07,5,1,3589078.0
2015-11-08,6,1,3336887.0
2015-11-09,0,1,3888549.0
2015-11-10,1,1,4033323.0
2015-11-11,2,1,4062360.0
2015-11-12,3,1,4083111.0
2015-11-13,4,1,4066890.0
2015-11-14,5,1,3614157.0
2015-11-15,6,1,3348024.0
2015-11-16,0,1,4044299.0
2015-11-17,1,1,4176334.0
2015-11-18,2,1,4179979.0
2015-11-19,3,1,4160627.0
2015-11-20,4,1,4158767.0
2015-11-21,5,1,3764778.0
