date,value,price,weekday,working_day,madrid_temp,barcelona_temp,bilbao_temp,sevilla_temp,valencia_temp
2020-07-08,4491676.0,95.7075,2,1,28.60194208333336,23.011773333333352,18.85557625000002,29.64321291666669,25.821963750000023
2020-07-09,4410916.0,98.44583333333333,3,1,26.060653333333352,24.34565583333336,19.38129083333335,25.31337833333336,26.22958875000002
2020-07-10,4315028.0,96.08041666666666,4,1,25.98101166666669,24.371972500000027,17.73403250000003,27.36949208333336,26.287225833333355
2020-07-11,3925758.0,86.64541666666668,5,1,27.99107291666669,23.581172500000022,18.204878750000024,29.890699583333348,25.470289583333354
2020-07-12,3606250.0,86.8325,6,1,26.76442791666669,23.612734166666684,18.876949583333356,30.02277958333336,25.25418416666669
2020-07-13,4287810.0,91.91416666666667,0,1,26.390934166666693,23.80820041666669,19.23895583333336,29.289485000000028,25.887842083333364
2020-07-14,4317348.0,91.16375,1,1,25.56895250000002,23.368431250000015,17.06879958333336,29.424301666666683,24.73198833333336
2020-07-15,4327967.0,88.0725,2,1,25.26072666666669,22.214563750000025,17.101109166666692,30.687739583333357,24.482570000000024
2020-07-16,4346275.0,92.31958333333334,3,1,26.882563750000028,21.855603333333352,17.177817916666694,31.97118583333335,25.31769208333336
2020-07-17,4310005.0,89.52916666666665,4,1,27.753023750000025,22.359002083333355,17.356714166666688,31.700627083333348,25.31496583333336
2020-07-18,3918003.0,89.48,5,1,27.397982916666688,23.40900041666669,19.790328333333356,30.18571416666669,25.41752458333336
2020-07-19,3677030.0,89.29,6,1,28.699263750000025,24.179030000000022,20.43474916666669,30.045699166666694,26.23107458333336
2020-07-20,4386852.0,93.1675,0,1,29.709475416666688,24.094019166666687,20.28962708333335,32.06550458333336,25.963496250000016
2020-07-21,4489243.0,93.57541666666668,1,1,28.285679166666696,24.732161250000026,20.052576666666685,28.123050833333355,25.676852500000024
2020-07-22,4446294.0,99.11625,2,1,27.007724166666687,24.82961333333336,21.02911583333335,27.345941666666693,26.10500666666669
2020-07-23,4505353.0,100.97166666666668,3,1,28.50650416666669,25.722417083333355,20.55807958333336,30.21001416666669,27.340437916666687
2020-07-24,4478002.0,94.11416666666666,4,1,29.24406333333336,25.16997541666669,18.910262500000023,31.86767000000002,27.191300000000023
