date,value,weekday,working_day
2015-11-29,3645986.0,6,1
2015-11-30,4405575.0,0,1
2015-12-01,4511537.0,1,1
2015-12-02,4505451.0,2,1
2015-12-03,4454610.0,3,1
2015-12-04,4404731.0,4,1
2015-12-05,3957320.0,5,1
2015-12-06,3639545.0,6,0
2015-12-07,3845202.0,0,1
2015-12-08,3690576.0,1,0
2015-12-09,4315491.0,2,1
2015-12-10,4407416.0,3,1
2015-12-11,4397290.0,4,1
2015-12-12,3992997.0,5,1
2015-12-13,3732423.0,6,1
2015-12-14,4445332.0,0,1
2015-12-15,4467217.0,1,1
2015-12-16,4415765.0,2,1
2015-12-17,4399883.0,3,1
2015-12-18,4304967.0,4,1
2015-12-19,3935946.0,5,1
2015-12-20,3644268.0,6,1
2015-12-21,4232698.0,0,1
2015-12-22,4284580.0,1,1
2015-12-23,4200396.0,2,1
2015-12-24,3687179.0,3,1
2015-12-25,3136583.0,4,0
2015-12-26,3466940.0,5,1
2015-12-27,3437467.0,6,1
2015-12-28,3942964.0,0,1
2015-12-29,3921714.0,1,1
2015-12-30,3893639.0,2,1
2015-12-31,3601797.0,3,1
2016-01-01,3132829.0,4,0
2016-01-02,3505820.0,5,1
2016-01-03,3525667.0,6,1
2016-01-04,4020695.0,0,1
2016-01-05,3997681.0,1,1
2016-01-06,3544249.0,2,0
2016-01-07,4304962.0,3,1
2016-01-08,4325336.0,4,1
2016-01-09,3916094.0,5,1
2016-01-10,3729483.0,6,1
2016-01-11,4342212.0,0,1
2016-01-12,4473042.0,1,1
2016-01-13,4558198.0,2,1
2016-01-14,4593371.0,3,1
2016-01-15,4560394.0,4,1
2016-01-16,4157358.0,5,1
2016-01-17,3946788.0,6,1
2016-01-18,4643008.0,0,1
2016-01-19,4678632.0,1,1
2016-01-20,4661256.0,2,1
2016-01-21,4638403.0,3,1
2016-01-22,4551012.0,4,1
2016-01-23,4000519.0,5,1
2016-01-24,3690479.0,6,1
2016-01-25,4359517.0,0,1
2016-01-26,4470683.0,1,1
2016-01-27,4476948.0,2,1
2016-01-28,4472412.0,3,1
2016-01-29,4433438.0,4,1
2016-01-30,3994154.0,5,1
2016-01-31,3712233.0,6,1
2016-02-01,4311832.0,0,1
2016-02-02,4400351.0,1,1
2016-02-03,4422988.0,2,1
2016-02-04,4436488.0,3,1
2016-02-05,4437213.0,4,1
2016-02-06,4030926.0,5,1
2016-02-07,3718035.0,6,1
2016-02-08,4370126.0,0,1
2016-02-09,4457142.0,1,1
2016-02-10,4452048.0,2,1
2016-02-11,4446697.0,3,1
2016-02-12,4437836.0,4,1
2016-02-13,3992496.0,5,1
2016-02-14,3753850.0,6,1
2016-02-15,4527345.0,0,1
2016-02-16,4624860.0,1,1
2016-02-17,4685908.0,2,1
2016-02-18,4713155.0,3,1
2016-02-19,4626886.0,4,1
2016-02-20,4102315.0,5,1
2016-02-21,3797416.0,6,1
2016-02-22,4398427.0,0,1
2016-02-23,4425677.0,1,1
2016-02-24,4471284.0,2,1
2016-02-25,4435516.0,3,1
2016-02-26,4512990.0,4,1
2016-02-27,4173608.0,5,1
2016-02-28,3831257.0,6,1
2016-02-29,4394844.0,0,1
2016-03-01,4489253.0,1,1
2016-03-02,4480075.0,2,1
2016-03-03,4429947.0,3,1
2016-03-04,4451909.0,4,1
2016-03-05,4001078.0,5,1
2016-03-06,3732404.0,6,1
2016-03-07,4561081.0,0,1
2016-03-08,4584562.0,1,1
2016-03-09,4652185.0,2,1
2016-03-10,4603533.0,3,1
2016-03-11,4507888.0,4,1
2016-03-12,4010420.0,5,1
2016-03-13,3700183.0,6,1
2016-03-14,4455564.0,0,1
2016-03-15,4534872.0,1,1
2016-03-16,4477046.0,2,1
2016-03-17,4482411.0,3,1
2016-03-18,4433269.0,4,1
2016-03-19,3932814.0,5,1
2016-03-20,3645954.0,6,1
2016-03-21,4288436.0,0,1
2016-03-22,4297180.0,1,1
2016-03-23,4207099.0,2,1
2016-03-24,3666167.0,3,0
2016-03-25,3401062.0,4,0
2016-03-26,3522012.0,5,1
2016-03-27,3217133.0,6,1
2016-03-28,3717019.0,0,1
2016-03-29,4095819.0,1,1
2016-03-30,4115073.0,2,1
2016-03-31,4192601.0,3,1
