date,hour,value
17/04/2014,13,91.23
17/04/2014,14,88.64
17/04/2014,15,87.11
17/04/2014,16,80.65
17/04/2014,17,78.89
17/04/2014,18,80.17
17/04/2014,19,84.19
17/04/2014,20,90.26
17/04/2014,21,94.57
17/04/2014,22,93.28
17/04/2014,23,86.44
18/04/2014,0,101.1
18/04/2014,1,99.59
18/04/2014,2,95.58
18/04/2014,3,96.27
18/04/2014,4,96.49
18/04/2014,5,94.83
18/04/2014,6,92.13
18/04/2014,7,89.03
18/04/2014,8,87.4
18/04/2014,9,88.64
18/04/2014,10,91.69
18/04/2014,11,91.4
18/04/2014,12,94.33
18/04/2014,13,94.23
18/04/2014,14,92.44
18/04/2014,15,90.69
18/04/2014,16,89.28
18/04/2014,17,88.84
18/04/2014,18,85.66
18/04/2014,19,84.69
18/04/2014,20,89.9
18/04/2014,21,98.85
18/04/2014,22,99.39
18/04/2014,23,95.17
19/04/2014,0,91.11
19/04/2014,1,92.56
19/04/2014,2,89.87
19/04/2014,3,88.54
19/04/2014,4,88.51
19/04/2014,5,87.49
19/04/2014,6,89.33
19/04/2014,7,91.89
19/04/2014,8,90.69
19/04/2014,9,94.23
19/04/2014,10,99.39
19/04/2014,11,99.41
19/04/2014,12,99.96
19/04/2014,13,100.34
19/04/2014,14,100.32
19/04/2014,15,96.56
19/04/2014,16,94.14
19/04/2014,17,92.3
19/04/2014,18,92.06
19/04/2014,19,87.16
19/04/2014,20,89.2
19/04/2014,21,97.0
19/04/2014,22,93.73
19/04/2014,23,89.24
20/04/2014,0,82.74
20/04/2014,1,80.9
20/04/2014,2,79.69
20/04/2014,3,80.42
20/04/2014,4,79.16
20/04/2014,5,79.29
20/04/2014,6,81.61
20/04/2014,7,84.15
20/04/2014,8,82.86
20/04/2014,9,84.68
20/04/2014,10,86.37
20/04/2014,11,87.94
20/04/2014,12,85.67
20/04/2014,13,85.81
20/04/2014,14,84.58
20/04/2014,15,81.84
20/04/2014,16,81.94
20/04/2014,17,82.39
20/04/2014,18,86.44
20/04/2014,19,87.41
20/04/2014,20,93.23
20/04/2014,21,103.21
20/04/2014,22,104.16
20/04/2014,23,100.39
21/04/2014,0,98.76
21/04/2014,1,100.61
21/04/2014,2,98.49
21/04/2014,3,97.47
21/04/2014,4,94.11
21/04/2014,5,97.29
21/04/2014,6,99.65
21/04/2014,7,100.79
21/04/2014,8,101.97
21/04/2014,9,105.2
21/04/2014,10,106.19
21/04/2014,11,104.2
21/04/2014,12,104.58
21/04/2014,13,105.52
21/04/2014,14,102.77
21/04/2014,15,99.14
21/04/2014,16,96.77
21/04/2014,17,95.51
21/04/2014,18,94.84
21/04/2014,19,96.47
21/04/2014,20,101.25
21/04/2014,21,117.93
21/04/2014,22,113.19
21/04/2014,23,99.38
22/04/2014,0,94.06
22/04/2014,1,89.92
22/04/2014,2,89.84
22/04/2014,3,92.0
22/04/2014,4,90.23
22/04/2014,5,90.69
22/04/2014,6,98.06
22/04/2014,7,101.01
22/04/2014,8,108.77
22/04/2014,9,109.55
22/04/2014,10,108.57
22/04/2014,11,101.96
22/04/2014,12,100.66
22/04/2014,13,100.04
22/04/2014,14,96.9
22/04/2014,15,93.01
22/04/2014,16,90.49
22/04/2014,17,91.06
22/04/2014,18,89.18
22/04/2014,19,92.16
22/04/2014,20,100.18
22/04/2014,21,108.05
22/04/2014,22,99.65
22/04/2014,23,94.14
23/04/2014,0,98.09
23/04/2014,1,95.12
23/04/2014,2,94.67
