date,hour,value,weekday,working_day
2014/04/12,13,77.66,5,1
2014/04/12,14,77.23,5,1
2014/04/12,15,77.56,5,1
2014/04/12,16,76.56,5,1
2014/04/12,17,75.85,5,1
2014/04/12,18,75.98,5,1
2014/04/12,19,73.77,5,1
2014/04/12,20,78.32,5,1
2014/04/12,21,90.47,5,1
2014/04/12,22,80.84,5,1
2014/04/12,23,76.87,5,1
2014/04/13,0,90.24,6,1
2014/04/13,1,77.33,6,1
2014/04/13,2,76.45,6,1
2014/04/13,3,78.29,6,1
2014/04/13,4,78.15,6,1
2014/04/13,5,77.5,6,1
2014/04/13,6,75.97,6,1
2014/04/13,7,75.25,6,1
2014/04/13,8,74.33,6,1
2014/04/13,9,74.63,6,1
2014/04/13,10,74.64,6,1
2014/04/13,11,75.01,6,1
2014/04/13,12,76.86,6,1
2014/04/13,13,77.77,6,1
2014/04/13,14,77.86,6,1
2014/04/13,15,74.37,6,1
2014/04/13,16,73.34,6,1
2014/04/13,17,73.31,6,1
2014/04/13,18,71.24,6,1
2014/04/13,19,78.66,6,1
2014/04/13,20,100.5,6,1
2014/04/13,21,105.6,6,1
2014/04/13,22,97.23,6,1
2014/04/13,23,89.59,6,1
2014/04/14,0,89.82,0,1
2014/04/14,1,79.61,0,1
2014/04/14,2,74.01,0,1
2014/04/14,3,75.44,0,1
2014/04/14,4,75.49,0,1
2014/04/14,5,76.52,0,1
2014/04/14,6,92.37,0,1
2014/04/14,7,95.3,0,1
2014/04/14,8,102.45,0,1
2014/04/14,9,104.17,0,1
2014/04/14,10,103.69,0,1
2014/04/14,11,99.96,0,1
2014/04/14,12,99.77,0,1
2014/04/14,13,97.31,0,1
2014/04/14,14,93.43,0,1
2014/04/14,15,93.06,0,1
2014/04/14,16,92.48,0,1
2014/04/14,17,95.11,0,1
2014/04/14,18,93.86,0,1
2014/04/14,19,95.23,0,1
2014/04/14,20,107.0,0,1
2014/04/14,21,115.16,0,1
2014/04/14,22,104.5,0,1
2014/04/14,23,97.4,0,1
2014/04/15,0,101.42,1,1
2014/04/15,1,100.93,1,1
2014/04/15,2,99.68,1,1
2014/04/15,3,101.55,1,1
2014/04/15,4,100.7,1,1
2014/04/15,5,102.89,1,1
2014/04/15,6,108.49,1,1
2014/04/15,7,109.4,1,1
2014/04/15,8,110.04,1,1
2014/04/15,9,111.0,1,1
2014/04/15,10,110.23,1,1
2014/04/15,11,109.2,1,1
2014/04/15,12,106.32,1,1
2014/04/15,13,105.02,1,1
2014/04/15,14,104.18,1,1
2014/04/15,15,104.27,1,1
2014/04/15,16,103.3,1,1
2014/04/15,17,104.37,1,1
2014/04/15,18,104.75,1,1
2014/04/15,19,103.56,1,1
2014/04/15,20,122.46,1,1
2014/04/15,21,125.06,1,1
2014/04/15,22,107.18,1,1
2014/04/15,23,103.63,1,1
2014/04/16,0,106.74,2,1
2014/04/16,1,106.84,2,1
2014/04/16,2,102.51,2,1
2014/04/16,3,104.63,2,1
2014/04/16,4,102.67,2,1
2014/04/16,5,104.48,2,1
2014/04/16,6,108.81,2,1
2014/04/16,7,109.91,2,1
2014/04/16,8,109.96,2,1
2014/04/16,9,110.96,2,1
2014/04/16,10,111.02,2,1
2014/04/16,11,106.1,2,1
2014/04/16,12,105.19,2,1
2014/04/16,13,104.92,2,1
2014/04/16,14,104.7,2,1
2014/04/16,15,103.2,2,1
2014/04/16,16,102.89,2,1
2014/04/16,17,103.26,2,1
2014/04/16,18,103.65,2,1
2014/04/16,19,102.61,2,1
2014/04/16,20,116.29,2,1
2014/04/16,21,118.87,2,1
2014/04/16,22,104.08,2,1
2014/04/16,23,100.69,2,1
2014/04/17,0,99.69,3,0
2014/04/17,1,96.38,3,0
2014/04/17,2,95.68,3,0
2014/04/17,3,96.92,3,0
2014/04/17,4,96.19,3,0
2014/04/17,5,97.17,3,0
2014/04/17,6,99.89,3,0
2014/04/17,7,97.89,3,0
2014/04/17,8,98.36,3,0
2014/04/17,9,97.78,3,0
2014/04/17,10,95.38,3,0
2014/04/17,11,92.41,3,0
2014/04/17,12,91.32,3,0
2014/04/17,13,91.23,3,0
2014/04/17,14,88.64,3,0
2014/04/17,15,87.11,3,0
2014/04/17,16,80.65,3,0
2014/04/17,17,78.89,3,0
2014/04/17,18,80.17,3,0
2014/04/17,19,84.19,3,0
2014/04/17,20,90.26,3,0
2014/04/17,21,94.57,3,0
2014/04/17,22,93.28,3,0
2014/04/17,23,86.44,3,0
2014/04/18,0,101.1,4,0
2014/04/18,1,99.59,4,0
2014/04/18,2,95.58,4,0
2014/04/18,3,96.27,4,0
2014/04/18,4,96.49,4,0
2014/04/18,5,94.83,4,0
2014/04/18,6,92.13,4,0
2014/04/18,7,89.03,4,0
2014/04/18,8,87.4,4,0
2014/04/18,9,88.64,4,0
2014/04/18,10,91.69,4,0
2014/04/18,11,91.4,4,0
2014/04/18,12,94.33,4,0
2014/04/18,13,94.23,4,0
2014/04/18,14,92.44,4,0
2014/04/18,15,90.69,4,0
2014/04/18,16,89.28,4,0
2014/04/18,17,88.84,4,0
2014/04/18,18,85.66,4,0
2014/04/18,19,84.69,4,0
2014/04/18,20,89.9,4,0
2014/04/18,21,98.85,4,0
2014/04/18,22,99.39,4,0
2014/04/18,23,95.17,4,0
2014/04/19,0,91.11,5,1
2014/04/19,1,92.56,5,1
2014/04/19,2,89.87,5,1
2014/04/19,3,88.54,5,1
2014/04/19,4,88.51,5,1
2014/04/19,5,87.49,5,1
2014/04/19,6,89.33,5,1
2014/04/19,7,91.89,5,1
2014/04/19,8,90.69,5,1
2014/04/19,9,94.23,5,1
2014/04/19,10,99.39,5,1
2014/04/19,11,99.41,5,1
2014/04/19,12,99.96,5,1
2014/04/19,13,100.34,5,1
2014/04/19,14,100.32,5,1
2014/04/19,15,96.56,5,1
2014/04/19,16,94.14,5,1
2014/04/19,17,92.3,5,1
2014/04/19,18,92.06,5,1
2014/04/19,19,87.16,5,1
2014/04/19,20,89.2,5,1
2014/04/19,21,97.0,5,1
2014/04/19,22,93.73,5,1
2014/04/19,23,89.24,5,1
2014/04/20,0,82.74,6,1
2014/04/20,1,80.9,6,1
2014/04/20,2,79.69,6,1
2014/04/20,3,80.42,6,1
2014/04/20,4,79.16,6,1
2014/04/20,5,79.29,6,1
2014/04/20,6,81.61,6,1
2014/04/20,7,84.15,6,1
2014/04/20,8,82.86,6,1
2014/04/20,9,84.68,6,1
2014/04/20,10,86.37,6,1
2014/04/20,11,87.94,6,1
2014/04/20,12,85.67,6,1
2014/04/20,13,85.81,6,1
2014/04/20,14,84.58,6,1
2014/04/20,15,81.84,6,1
2014/04/20,16,81.94,6,1
2014/04/20,17,82.39,6,1
2014/04/20,18,86.44,6,1
2014/04/20,19,87.41,6,1
2014/04/20,20,93.23,6,1
2014/04/20,21,103.21,6,1
2014/04/20,22,104.16,6,1
2014/04/20,23,100.39,6,1
2014/04/21,0,98.76,0,1
